index,stamp_sec,stamp_nanosec,pcd_file,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
10,1782418134,542761802,keyframe_000010.pcd,-0.436327439864,0.192682192359,-0.878915205222,4.914175770138,-0.085738535513,-0.981261213110,-0.172555310478,4.440536892006,-0.895693736022,0.000066285681,0.444671481946,3.307717543994,0.000000000000,0.000000000000,0.000000000000,1.000000000000
11,1782418150,242980957,keyframe_000011.pcd,0.134107775280,0.866131799015,-0.481488121707,3.711345931584,-0.797189476163,-0.194323363269,-0.571600708172,3.964277784146,-0.588645940871,0.460493362843,0.664410881212,2.542608980326,0.000000000000,0.000000000000,0.000000000000,1.000000000000
12,1782418165,243052244,keyframe_000012.pcd,0.292248991016,0.878271152334,-0.378457805084,4.963659741119,-0.825214711583,0.031587615348,-0.563935193390,4.280520799332,-0.483333432567,0.477118439735,0.733993724379,3.335288938931,0.000000000000,0.000000000000,0.000000000000,1.000000000000
13,1782418168,141755342,keyframe_000013.pcd,0.292437240544,0.879043010053,-0.376515400509,6.223335972802,-0.816924668845,0.024969958324,-0.576203598231,3.952275340548,-0.497106171533,0.476088109134,0.725414065597,4.091485028427,0.000000000000,0.000000000000,0.000000000000,1.000000000000
14,1782418172,743284940,keyframe_000014.pcd,0.294772228660,0.878484627513,-0.375997463335,4.916860216236,-0.821755803007,0.032232206192,-0.568927486688,4.063353419473,-0.487674823459,0.476682120608,0.731400999765,3.291658939858,0.000000000000,0.000000000000,0.000000000000,1.000000000000
15,1782418183,643074035,keyframe_000015.pcd,0.290683065349,0.879326261789,-0.377211718862,3.630819556022,-0.819382486183,0.025194286149,-0.572693276791,3.982845147735,-0.494080658249,0.475552913221,0.727828090878,2.495359504761,0.000000000000,0.000000000000,0.000000000000,1.000000000000
16,1782418186,342358350,keyframe_000016.pcd,0.285564929030,0.877648634293,-0.384948757670,2.335323979218,-0.820503979081,0.016344474540,-0.571407103968,3.958829521911,-0.495202879254,0.479025816502,0.724781605384,1.685047146982,0.000000000000,0.000000000000,0.000000000000,1.000000000000
17,1782418188,742292881,keyframe_000017.pcd,0.281329374123,0.879568699614,-0.383683053985,1.004752089280,-0.817816783336,0.010586817707,-0.575381289394,3.933563700362,-0.502025389944,0.475654099058,0.722304427441,0.861736875178,0.000000000000,0.000000000000,0.000000000000,1.000000000000
18,1782418201,842226743,keyframe_000018.pcd,0.999701382638,0.023352835474,0.007196570482,1.652594754932,-0.023304097518,0.999705408676,-0.006783428550,2.592028243832,-0.007352862726,0.006613693320,0.999951096039,1.180752098768,0.000000000000,0.000000000000,0.000000000000,1.000000000000
19,1782418203,442495346,keyframe_000019.pcd,0.999769844291,0.018970934181,0.010018088745,1.678857997572,-0.018972224912,0.999820010571,0.000033812128,1.088896446895,-0.010015644147,-0.000223869778,0.999949817118,1.115852301936,0.000000000000,0.000000000000,0.000000000000,1.000000000000
